customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,average_rating,total_orders
90,Dayita Jaggi,isaiahbasu@example.com,8534275037,"95, Ghosh Ganj, Kolkata-757823",2025-07-16,False,Desserts,4.1,253
91,Eesha Kala,draval@example.org,+911860550727,"H.No. 353, Kapur Circle, Saharsa-831499",2023-11-18,False,South Indian,3.4,53
92,Ekalinga Saran,qdin@example.com,1001004596,"H.No. 851, Saini Zila, Mumbai 004357",2024-12-23,True,Fast Food,3.6,287
93,Pallavi Sawhney,narangwakeeta@example.com,+915315401044,"65/37, Banerjee, Agra-925884",2025-10-10,True,Chinese,4.9,297
94,Zaitra Korpal,deishwar@example.net,+912201760050,"89, Chadha Street, Bettiah 115784",2026-03-27,False,Desserts,4.6,214
95,Advika Kara,abhirammani@example.com,6442152454,"38, Wable Ganj, Dharmavaram 290795",2024-11-13,False,Italian,3.9,234
96,Leela Cherian,sarkarbimala@example.com,01744074528,"H.No. 055, Vala, Malda 550195",2026-01-07,True,Italian,3.0,7
97,Dakshesh Kade,karajason@example.net,07020017728,"399, Rai, Aurangabad-515112",2025-10-22,False,North Indian,3.1,269
98,Libni Pathak,nsura@example.com,8437412452,"95/35, Raju Chowk, Kurnool-553432",2026-03-10,False,Chinese,4.4,293
99,Nimrat Dar,oommenadweta@example.net,01390010038,"H.No. 690, Venkatesh Nagar, Ongole 228075",2026-03-21,True,Biryani,3.1,198
100,Qushi Bala,arunimathakur@example.com,+911397803349,"H.No. 534, Kapadia, Rewa-832767",2024-07-31,True,Biryani,3.5,295
